,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,gene_40,gene_41,gene_42,gene_43,gene_44,gene_45,gene_46,gene_47,gene_48,gene_49,gene_50,gene_51,gene_52,gene_53,gene_54,gene_55,gene_56,gene_57,gene_58,gene_59,gene_60,gene_61,gene_62,gene_63,gene_64,gene_65,gene_66,gene_67,gene_68,gene_69,gene_70,gene_71,gene_72,gene_73,gene_74,gene_75,gene_76,gene_77,gene_78,gene_79,gene_80,gene_81,gene_82,gene_83,gene_84,gene_85,gene_86,gene_87,gene_88,gene_89,gene_90,gene_91,gene_92,gene_93,gene_94,gene_95,gene_96,gene_97,gene_98,gene_99
R_cell_495,3,1,2,5,1,2,4,1,2,2,7,9,2,5,3,1,3,2,1,5,2,4,3,0,0,1,4,4,5,1,16,0,3,2,4,9,3,1,1,4,28,12,5,16,13,9,14,17,29,8,2,7,1,0,1,3,6,6,2,2,5,1,1,7,4,12,3,2,4,2,1,0,1,4,3,4,7,2,2,3,3,3,0,2,1,3,5,2,7,5,5,5,3,0,0,2,2,2,6,2
R_cell_496,1,3,5,9,0,3,3,4,4,1,3,4,5,6,8,1,6,0,4,4,7,4,39,17,22,14,18,16,11,11,12,0,4,3,4,18,1,1,2,3,4,8,2,1,5,5,2,1,4,6,6,2,2,3,3,3,2,9,3,4,1,3,1,0,2,3,3,3,3,2,0,0,1,3,3,3,2,2,2,0,4,3,0,4,0,4,3,0,2,1,8,2,2,3,4,0,1,2,3,0
R_cell_497,4,1,7,4,2,1,2,3,2,3,3,5,2,1,3,2,5,0,3,3,4,2,5,2,1,3,3,7,3,3,7,2,1,1,2,5,2,0,2,3,27,11,7,12,14,14,13,12,14,13,0,7,0,2,6,0,2,16,3,6,2,3,8,1,7,5,3,2,8,1,1,1,3,4,4,1,0,0,3,1,6,0,1,5,3,1,6,1,5,2,4,3,1,2,1,3,1,1,3,3
R_cell_498,5,6,8,35,4,9,4,13,18,5,2,8,4,6,3,1,2,3,3,3,2,2,1,4,1,2,8,6,1,2,18,1,0,0,1,1,3,0,3,3,6,5,1,7,2,0,6,2,3,5,5,9,2,2,5,2,1,10,4,4,1,2,1,3,4,5,2,2,4,0,0,2,1,3,3,4,1,3,5,5,6,2,1,3,0,1,1,6,8,7,2,3,1,0,2,0,0,0,3,1
R_cell_499,2,2,7,0,0,1,3,1,5,0,5,6,2,6,0,1,1,1,6,4,3,0,12,3,4,4,8,2,2,2,17,1,0,2,3,5,6,1,1,8,12,18,3,16,2,8,10,8,38,13,4,3,4,1,2,6,2,3,1,10,0,5,3,1,5,1,5,1,4,3,1,1,1,2,4,2,4,2,6,4,2,1,7,0,2,4,1,0,5,3,2,0,5,6,0,0,1,1,4,2
R_cell_500,4,0,4,5,0,0,3,1,2,1,35,20,8,17,16,5,14,9,48,10,2,2,3,0,1,4,6,6,2,3,13,1,2,1,3,8,2,4,0,7,1,3,0,1,3,1,4,3,5,7,2,3,1,0,9,2,2,7,2,5,0,4,3,6,4,6,1,0,2,3,1,1,1,5,2,2,0,5,3,2,3,0,4,3,4,4,4,2,4,6,0,4,1,3,2,1,2,0,3,3
R_cell_501,5,1,7,6,1,1,3,1,2,1,4,4,0,4,1,1,5,3,6,3,3,4,4,2,1,5,3,8,6,4,27,8,10,5,15,12,5,9,6,55,3,6,6,2,0,7,5,2,4,2,3,5,2,5,3,4,3,5,1,3,2,1,3,2,2,2,9,0,7,1,2,0,2,7,5,0,1,2,3,2,5,1,3,4,1,2,2,0,1,3,7,1,8,2,1,0,3,0,3,2
R_cell_502,12,4,12,34,0,7,11,16,18,7,4,1,6,7,3,1,2,0,3,3,1,0,7,1,0,1,2,4,3,5,7,1,5,2,3,5,5,3,3,4,4,4,1,3,2,2,6,3,3,4,4,2,0,1,4,1,2,2,2,5,0,3,1,3,3,10,6,1,6,1,0,2,0,3,6,5,2,2,2,1,5,1,0,1,3,2,5,1,5,3,8,3,3,2,1,0,4,3,5,4
R_cell_503,3,3,4,6,0,2,3,1,6,1,7,1,3,5,1,0,2,4,4,4,11,14,32,27,24,12,24,21,12,4,10,1,4,0,3,3,3,0,1,2,3,3,0,2,2,6,3,3,8,3,3,8,1,2,3,3,3,4,1,4,2,1,4,1,10,4,0,0,10,0,3,1,1,3,7,2,4,5,3,3,4,0,6,1,1,2,2,2,3,2,4,2,3,4,1,0,1,2,2,0
R_cell_504,14,12,24,33,0,3,12,7,29,2,6,9,4,8,5,2,2,4,4,4,3,1,9,4,3,2,6,4,2,7,5,0,3,2,2,3,7,2,1,4,3,3,2,5,0,2,6,5,6,4,2,5,3,2,2,0,1,4,0,9,2,3,2,1,2,3,4,4,3,1,0,4,1,7,2,3,3,3,4,3,3,1,2,2,2,6,0,2,6,2,2,5,4,2,3,0,1,2,6,4
R_cell_505,2,2,5,4,0,1,2,2,5,2,17,31,19,8,25,5,12,5,30,20,7,2,7,1,3,1,8,7,2,4,9,3,1,1,3,7,2,0,1,3,0,2,2,4,3,6,10,2,7,2,4,5,0,0,1,0,0,6,1,7,1,1,0,2,10,7,2,3,4,1,0,3,0,2,0,2,4,4,5,3,3,2,3,2,1,4,3,1,2,4,10,0,3,4,1,2,0,0,1,1
R_cell_506,5,1,5,4,0,2,4,3,2,3,2,10,1,7,4,2,2,3,11,6,4,0,3,4,1,1,5,2,2,2,16,2,2,3,12,10,3,4,0,2,22,16,4,17,9,17,13,20,28,14,4,4,1,0,1,1,5,7,3,3,1,0,1,5,2,2,1,0,4,5,3,1,2,2,7,3,0,5,9,5,2,3,1,1,0,2,2,0,3,1,3,2,2,2,2,3,0,1,4,2
R_cell_507,4,0,4,7,0,0,2,3,1,1,2,3,0,4,3,2,7,2,4,4,4,1,2,0,5,4,6,4,6,3,8,2,2,8,3,9,1,3,0,5,18,21,2,11,5,23,22,16,16,12,3,8,3,2,1,2,3,5,3,5,2,1,3,5,4,3,1,0,4,1,0,1,2,3,2,4,0,1,6,2,3,2,2,4,0,0,1,4,5,5,7,2,3,1,0,2,2,0,3,1
R_cell_508,2,2,1,7,0,0,3,2,2,0,4,1,6,4,2,0,3,0,10,3,4,6,18,17,9,7,23,10,18,12,13,3,1,2,3,9,5,1,0,7,7,6,0,3,8,5,7,2,0,1,3,7,2,1,2,4,2,9,1,5,4,2,3,6,9,1,1,0,6,2,0,0,2,4,9,4,3,3,7,6,5,3,2,2,2,2,4,2,8,5,5,11,7,3,2,2,1,1,2,2
R_cell_509,8,1,5,3,2,0,2,1,1,3,4,4,2,3,4,4,2,1,8,2,2,2,3,2,3,1,4,5,3,2,7,4,1,3,0,7,2,0,0,3,7,15,1,15,14,13,33,16,18,14,6,4,1,1,0,1,4,7,3,7,1,2,5,4,2,8,4,5,5,3,1,2,2,7,0,2,4,2,2,4,5,2,3,1,0,1,2,5,7,6,2,0,0,1,3,1,0,2,7,2
R_cell_510,9,0,12,2,1,0,3,4,0,7,9,5,2,5,2,0,3,0,4,3,3,0,7,2,0,3,2,2,2,1,33,5,9,13,4,12,23,7,10,63,5,3,1,3,6,3,8,3,2,5,3,2,0,1,0,3,5,2,0,7,0,0,5,5,8,5,0,3,8,4,0,1,2,3,5,4,1,1,6,1,1,0,3,2,3,11,0,2,2,7,6,2,4,3,1,1,3,2,2,2
R_cell_511,4,2,2,5,0,0,5,6,2,1,32,36,14,18,32,13,19,8,45,18,3,1,5,3,0,1,4,4,5,0,8,3,2,2,5,3,4,6,1,3,3,2,4,3,5,4,15,2,3,5,1,2,0,0,3,2,2,7,3,7,0,2,2,2,7,2,3,3,5,0,2,0,4,7,2,1,2,2,3,4,3,1,3,1,0,1,3,4,7,5,9,4,4,2,0,2,1,1,2,2
R_cell_512,24,14,9,63,2,3,9,9,12,3,3,5,3,3,1,1,3,2,3,1,2,0,6,2,9,3,2,2,1,8,9,1,1,0,3,11,1,3,4,5,2,2,0,1,3,3,10,4,6,2,2,9,0,2,3,1,4,3,3,11,1,4,3,4,5,6,2,3,3,2,0,0,2,4,2,2,2,5,2,4,2,5,0,4,1,7,3,1,1,1,2,4,3,6,3,1,1,3,1,2
R_cell_513,2,0,7,2,2,0,0,0,1,3,4,5,3,9,5,2,2,2,8,5,10,8,31,34,16,15,21,12,10,19,12,2,3,1,2,3,3,3,3,4,0,0,4,1,2,3,5,1,6,4,5,1,0,5,2,2,4,8,1,7,0,4,6,3,7,5,2,3,7,1,0,3,0,3,2,0,2,4,3,2,5,0,2,2,0,7,3,4,3,5,3,0,3,3,1,1,1,1,4,2
R_cell_514,1,2,4,6,1,1,3,1,1,1,3,5,5,1,4,2,5,1,3,2,4,0,5,2,1,4,6,2,3,1,32,10,11,11,8,9,20,8,31,100,2,2,1,10,3,3,7,5,2,6,2,2,2,1,1,1,2,17,1,3,1,0,6,3,2,3,0,1,11,13,1,0,2,1,1,3,5,2,5,7,2,3,2,1,1,2,1,1,4,5,3,4,1,3,2,4,2,2,1,1
R_cell_515,6,0,5,2,1,2,6,7,2,0,6,4,0,3,4,1,3,0,5,6,3,3,6,0,4,0,7,3,4,4,11,2,3,1,4,0,1,0,3,4,31,15,8,14,3,22,11,18,25,13,4,5,1,2,1,2,3,10,0,5,2,2,2,4,1,4,3,2,4,2,1,1,5,3,0,4,2,0,3,2,3,1,3,4,1,9,0,0,5,5,6,0,1,2,0,2,3,2,0,3
R_cell_516,4,4,3,8,0,2,10,3,6,4,6,2,7,3,1,1,0,3,5,1,0,1,11,2,5,3,0,4,2,10,44,1,15,5,7,13,23,14,15,44,2,8,0,4,2,2,5,3,4,3,5,4,2,6,3,1,7,2,3,3,1,4,3,2,5,1,1,3,8,8,2,3,2,1,8,5,0,1,5,5,4,0,0,3,1,5,2,4,6,3,6,3,5,3,1,2,4,0,5,0
R_cell_517,5,5,2,4,2,1,4,4,1,1,32,22,7,5,28,8,27,11,67,10,0,3,11,3,1,3,3,8,3,1,7,1,3,2,3,2,5,2,0,5,3,5,1,4,3,3,4,4,5,3,2,2,2,4,2,2,2,4,0,10,2,3,1,5,6,5,5,1,9,2,1,4,2,10,2,3,1,3,6,0,3,2,2,4,3,5,1,3,2,1,6,2,0,5,1,3,4,1,3,6
R_cell_518,2,2,7,1,0,0,5,5,4,1,4,3,3,5,5,0,2,0,2,1,3,9,36,23,15,18,31,11,5,9,18,1,2,0,8,6,1,3,4,6,3,8,2,2,0,1,4,6,2,1,1,6,0,0,1,0,0,5,1,2,3,1,1,10,8,1,5,2,7,2,0,3,2,6,6,5,2,4,3,2,6,1,0,2,1,4,1,2,8,6,4,2,2,2,1,1,1,3,6,0
R_cell_519,24,17,11,61,4,7,11,7,22,6,3,4,2,9,5,4,4,0,5,1,2,1,5,1,3,3,2,4,6,4,10,1,1,1,1,2,3,1,0,5,4,6,3,3,4,0,4,7,2,4,7,1,1,1,3,3,5,4,4,2,0,2,5,5,8,6,0,7,5,1,1,1,3,3,6,4,1,8,5,2,2,0,4,2,0,5,3,0,2,3,2,9,2,3,2,2,3,2,5,2
R_cell_520,4,1,6,1,0,1,5,2,7,3,9,3,2,5,4,3,6,2,0,3,4,0,10,5,2,1,2,2,4,3,10,2,1,1,6,6,2,1,3,2,28,13,3,11,4,16,13,24,37,12,2,5,1,0,1,3,2,14,3,3,2,4,0,3,2,8,1,4,2,3,2,3,1,2,4,5,3,2,2,0,2,1,2,3,1,3,2,3,4,4,4,5,0,4,3,0,0,1,3,3
R_cell_521,2,3,8,5,1,1,1,4,5,3,45,21,22,9,11,6,16,7,37,5,2,2,2,5,3,2,2,6,4,5,19,1,3,1,3,8,2,1,2,1,2,5,3,0,2,1,6,3,2,6,0,0,1,1,1,0,1,5,4,6,3,0,4,3,1,1,2,6,3,1,0,1,0,3,1,3,1,1,4,8,2,3,3,0,2,3,2,4,4,4,5,1,1,3,1,1,0,1,1,1
R_cell_522,9,10,10,21,1,4,12,7,14,5,7,4,2,5,3,0,4,1,6,3,3,3,10,4,2,3,5,10,4,5,6,5,2,2,3,7,2,2,3,0,10,5,3,2,4,4,5,4,5,1,1,5,0,3,2,3,1,3,1,3,1,0,1,6,4,4,1,0,5,2,1,1,1,3,4,3,0,4,4,1,4,1,2,1,2,6,2,3,4,4,3,3,3,2,0,1,3,4,5,5
R_cell_523,5,3,1,7,2,0,1,2,2,1,5,7,4,7,6,2,6,1,3,3,6,15,22,17,26,10,33,7,12,7,7,1,5,1,2,6,4,1,6,0,3,5,0,3,10,4,4,3,5,6,6,2,1,1,2,3,1,4,1,8,3,2,2,3,2,4,3,4,10,5,1,2,1,0,3,6,3,2,1,2,4,2,2,0,1,5,0,7,2,3,12,8,1,1,0,1,6,2,5,4
R_cell_524,5,1,1,6,0,4,3,5,4,3,7,0,3,4,3,1,4,1,10,0,1,1,10,3,1,0,2,5,1,4,42,8,14,4,12,11,27,13,24,44,3,2,2,5,1,4,7,5,2,1,2,8,0,0,4,0,0,12,2,7,1,2,0,4,7,9,2,3,1,0,1,2,3,2,0,3,1,3,3,7,4,4,2,0,1,5,2,4,0,4,8,4,1,4,0,0,0,2,5,0
R_cell_525,20,13,6,7,0,3,6,11,12,1,4,3,4,5,3,0,6,1,4,3,1,3,2,4,0,1,5,4,2,5,10,3,1,2,3,7,3,4,2,6,2,0,4,5,3,3,9,3,4,2,1,5,0,1,1,0,5,3,0,11,4,4,4,3,2,8,2,4,1,4,1,0,0,5,4,3,1,0,2,5,7,5,1,2,1,1,1,1,3,3,6,2,0,4,1,2,2,2,2,3
R_cell_526,3,2,2,4,0,2,4,2,3,0,9,4,3,6,4,1,2,1,4,1,11,16,34,10,18,14,14,27,9,18,12,0,1,2,5,4,1,2,0,4,3,1,4,2,2,2,6,3,3,2,4,5,2,0,2,0,2,14,1,2,0,1,3,1,1,5,2,2,0,2,2,4,2,2,3,3,0,1,2,2,4,2,4,4,1,4,1,3,1,3,7,8,3,5,3,1,2,1,2,1
R_cell_527,4,0,12,6,1,0,2,1,7,4,24,48,11,16,14,4,23,5,43,14,1,1,5,5,1,1,3,2,7,6,2,4,2,3,5,10,0,1,1,5,4,10,2,4,4,1,5,8,7,3,3,1,2,1,5,3,2,7,0,3,2,4,1,3,6,4,1,2,1,1,0,1,3,4,2,5,3,8,5,0,3,1,2,2,0,5,0,2,3,2,5,2,1,4,2,0,2,4,5,3
R_cell_528,3,2,3,4,1,1,3,2,1,3,4,5,4,12,3,0,1,3,5,2,2,2,4,3,0,1,5,2,8,7,12,2,1,3,8,4,4,6,2,4,16,5,5,18,4,15,7,20,30,18,4,5,0,3,5,2,0,8,0,3,0,1,4,3,2,1,3,4,6,4,0,0,2,3,4,8,3,3,3,4,5,2,2,2,1,6,2,9,5,5,2,3,1,4,1,3,1,1,2,3
R_cell_529,7,2,3,5,4,1,5,0,4,2,5,7,1,9,4,2,1,0,2,2,2,4,3,3,2,3,2,5,6,3,48,6,11,9,4,17,10,13,10,30,5,9,6,2,2,5,7,2,3,4,2,8,0,3,1,3,3,7,1,5,2,2,1,5,4,4,6,1,6,0,1,2,2,4,2,5,2,6,1,2,4,1,1,4,0,4,1,0,4,2,3,2,1,2,2,3,0,2,3,2
R_cell_530,2,1,6,4,1,0,2,1,2,3,10,1,6,8,2,0,6,0,5,1,6,10,20,14,22,14,17,7,15,17,7,3,2,1,4,5,4,1,4,7,1,2,3,4,2,2,9,3,7,2,5,3,0,1,1,1,4,7,4,2,2,1,0,5,2,5,4,0,3,1,0,3,1,4,3,3,0,3,4,1,1,4,1,1,1,8,0,0,4,3,9,3,1,1,0,0,0,1,3,1
R_cell_531,19,13,11,27,0,4,15,6,12,5,3,4,8,5,0,2,2,1,3,2,1,1,2,4,0,1,4,2,4,4,9,1,1,0,4,6,3,7,4,7,11,4,1,5,3,3,5,3,0,3,1,1,0,2,3,3,2,7,0,10,2,4,1,3,6,3,5,3,3,4,2,2,0,1,6,2,2,4,1,0,5,1,3,1,2,7,1,4,6,7,2,1,0,2,0,0,0,1,3,5
R_cell_532,3,2,10,4,2,0,1,1,4,0,1,4,5,6,2,1,3,2,8,8,0,4,2,2,2,1,6,2,5,6,12,2,2,1,5,11,4,2,0,5,22,23,4,6,15,13,13,19,21,17,4,0,2,5,3,4,3,5,5,5,2,2,1,3,1,3,4,1,5,2,1,3,2,4,7,3,2,3,6,2,2,1,1,0,1,6,2,2,3,3,3,1,4,5,3,1,1,0,4,2
R_cell_533,1,1,5,2,1,0,3,3,0,1,4,5,0,10,3,2,2,1,4,1,0,4,5,2,4,3,3,1,3,3,25,1,0,1,6,2,1,1,1,4,29,9,5,11,12,8,18,5,40,12,3,5,0,1,5,3,1,10,6,3,0,0,2,4,2,4,2,2,5,4,0,2,0,3,2,3,0,3,1,1,5,4,2,5,3,2,5,2,5,0,2,4,4,3,0,1,1,3,5,1
R_cell_534,6,2,4,0,0,0,9,1,4,1,19,21,8,21,33,6,15,9,49,8,3,2,4,2,0,1,1,1,3,4,9,4,0,3,2,4,5,3,5,4,4,2,3,0,1,0,7,7,8,1,3,6,2,2,2,2,3,6,1,5,1,2,2,5,3,7,0,2,2,2,0,0,3,6,2,10,3,0,11,2,4,1,3,3,2,0,6,0,4,4,6,4,2,1,1,2,3,2,3,4
R_cell_535,4,0,2,5,0,0,4,3,3,3,3,7,3,12,2,1,7,0,3,1,8,10,28,22,7,16,23,19,6,19,10,4,5,3,3,4,3,2,1,1,2,3,1,4,5,4,4,3,7,3,8,5,0,5,4,4,0,9,3,9,5,1,3,3,0,3,6,0,6,0,4,0,2,1,4,3,1,4,4,1,2,2,0,2,2,3,1,3,4,4,0,1,3,6,1,1,3,0,7,1
R_cell_536,1,1,3,1,0,0,2,4,0,1,1,4,0,3,2,0,2,2,4,2,3,3,7,4,3,5,1,1,5,1,74,3,12,7,11,9,13,7,13,63,1,3,1,3,1,2,9,4,3,2,5,5,0,1,3,0,5,5,5,2,1,5,1,3,2,5,2,3,2,0,3,5,2,4,0,4,3,3,9,2,2,1,1,1,0,3,1,0,4,4,3,2,4,1,0,0,1,0,3,2
R_cell_537,2,1,8,4,3,0,2,3,3,1,9,5,1,7,4,3,2,0,3,1,4,2,5,4,0,3,4,4,2,1,40,2,4,7,14,17,8,11,9,59,5,11,0,9,5,0,10,5,6,3,5,8,2,1,1,1,2,8,1,5,2,1,2,6,2,3,1,2,6,1,4,2,1,5,1,5,3,1,3,3,2,0,0,5,1,1,3,3,6,6,3,1,0,2,0,6,0,1,5,2
R_cell_538,2,1,7,8,0,0,5,8,6,1,8,4,4,4,3,3,2,2,2,1,4,2,5,1,6,0,4,3,4,2,20,1,4,2,4,2,1,1,0,1,19,5,6,12,5,6,20,15,13,10,3,2,1,1,2,3,1,4,1,3,1,1,2,3,4,4,2,8,14,1,3,2,2,0,3,6,1,2,3,2,4,5,2,4,0,3,1,5,4,0,3,5,1,3,0,1,3,3,1,0
R_cell_539,4,3,4,4,2,4,4,2,3,2,4,8,2,4,2,3,2,0,8,4,6,7,58,21,10,12,29,12,8,5,11,3,4,1,4,3,1,3,3,4,5,6,2,4,1,3,4,3,4,1,5,2,1,2,4,6,1,6,3,8,0,0,3,4,4,3,0,3,7,4,0,2,1,6,6,6,1,3,2,6,3,5,1,3,0,1,0,2,1,3,6,1,2,0,1,6,3,1,5,2
R_cell_540,18,7,15,44,4,6,7,9,19,5,9,4,0,5,3,1,6,0,3,1,4,2,1,3,1,2,11,5,6,7,7,3,2,1,5,5,3,0,1,3,1,2,1,2,7,1,6,1,3,1,5,8,0,2,0,1,3,10,1,4,1,3,6,3,2,6,1,3,3,4,5,2,1,4,4,4,1,4,0,1,3,1,1,1,2,2,0,11,3,4,3,0,2,2,0,0,0,2,5,1
R_cell_541,3,1,7,5,0,1,6,4,3,2,4,1,1,3,4,0,5,4,7,5,2,1,9,1,0,2,2,2,4,6,8,1,5,0,1,4,1,3,0,3,24,10,3,15,4,8,27,18,23,7,5,4,3,1,1,1,2,13,3,2,0,3,3,5,5,5,4,2,7,0,1,0,1,4,4,4,4,3,2,4,3,5,2,4,2,5,2,3,5,6,5,8,0,2,1,1,1,0,3,3
R_cell_542,2,3,6,2,1,2,2,4,3,1,3,3,0,10,3,4,2,1,3,1,11,9,25,8,17,12,27,9,19,13,7,2,2,1,7,5,4,1,1,1,3,6,2,4,3,5,6,3,1,6,4,4,5,2,3,1,3,9,1,9,0,0,4,5,7,1,1,1,3,5,1,1,1,2,3,6,0,5,5,3,3,4,1,1,1,5,1,3,1,4,7,3,0,0,2,0,1,2,3,5
R_cell_543,12,21,7,29,2,4,14,2,13,5,5,2,5,12,11,1,1,1,8,5,0,0,5,1,2,2,8,5,5,2,10,2,3,3,3,10,8,3,1,5,4,8,2,2,1,4,3,1,4,2,2,6,1,1,2,0,1,11,1,6,4,4,4,2,5,3,1,1,9,0,1,1,1,1,1,5,1,4,2,2,3,3,1,3,5,7,3,3,6,4,2,8,4,1,2,1,5,3,2,3
R_cell_544,10,9,19,32,0,4,13,14,11,5,4,8,3,7,2,1,1,0,2,1,3,1,10,2,3,2,5,2,3,3,7,2,0,3,3,4,4,5,1,6,7,4,3,3,3,4,2,4,6,6,9,2,1,3,1,0,2,9,2,10,2,3,5,5,5,9,2,1,3,3,1,1,1,7,2,4,1,4,5,1,3,1,4,5,2,6,2,2,3,5,2,3,2,1,1,1,4,4,5,5
R_cell_545,3,4,7,7,1,0,1,2,1,1,5,10,5,8,5,1,5,3,8,1,9,6,39,21,20,11,24,15,11,9,6,3,0,3,3,4,0,0,0,6,8,3,2,2,0,1,7,6,2,4,4,2,1,3,3,0,1,15,5,9,1,4,2,8,4,0,2,2,4,5,1,1,1,9,1,1,7,5,4,3,3,1,4,2,0,3,2,1,4,5,0,4,0,1,1,2,2,3,3,1
R_cell_546,2,3,1,1,1,1,4,1,2,3,26,14,3,19,30,8,9,6,31,9,0,1,4,2,0,0,0,4,1,5,2,5,0,4,13,5,2,3,1,2,5,11,1,6,1,3,5,1,2,4,2,3,1,1,1,2,2,4,0,5,0,0,0,0,6,3,6,1,5,1,2,2,0,8,4,4,0,3,4,3,9,0,3,3,0,1,4,5,7,7,6,1,2,1,1,0,2,1,4,3
R_cell_547,10,1,7,4,1,1,2,0,2,2,6,5,3,8,3,2,5,3,7,3,1,2,4,3,4,4,8,4,2,2,9,4,3,2,4,6,1,4,2,3,15,13,9,18,5,11,20,11,20,16,6,0,2,0,2,3,4,7,3,8,1,5,2,3,5,1,2,1,4,4,1,4,2,4,4,3,1,1,4,1,2,4,2,0,1,4,1,1,4,2,5,1,2,4,1,1,2,2,2,1
R_cell_548,7,4,5,9,2,0,2,3,2,0,2,2,1,6,6,0,1,2,3,1,4,2,6,2,1,1,2,4,5,4,27,6,4,7,12,19,10,10,11,89,3,1,0,4,7,4,3,1,3,1,7,3,0,2,1,0,0,6,1,3,4,1,2,2,3,2,2,2,5,2,2,0,1,7,6,3,4,5,2,4,6,3,4,2,2,7,4,1,4,3,5,1,2,4,1,3,1,4,2,0
R_cell_549,6,2,2,7,0,0,3,2,2,2,23,29,6,13,25,10,8,10,39,6,1,0,5,1,1,3,3,5,1,1,13,2,3,1,5,4,3,0,1,4,12,5,1,2,2,4,6,7,4,2,2,1,0,6,4,4,2,10,0,5,1,3,4,7,6,5,6,2,7,0,1,4,2,4,2,4,0,6,0,3,2,2,2,2,1,6,0,3,5,3,5,3,1,2,1,2,1,1,6,0
R_cell_550,4,1,5,3,0,1,0,2,3,1,4,3,2,7,6,4,4,2,5,2,10,7,33,11,13,9,25,16,8,10,16,3,4,1,7,4,3,6,2,2,6,6,3,3,4,3,9,3,2,5,3,3,2,1,1,3,2,9,5,2,1,5,3,3,3,4,4,3,7,1,2,2,3,2,3,2,2,5,6,6,5,3,1,3,0,7,2,4,5,4,2,1,2,6,1,1,0,1,4,2
R_cell_551,5,6,35,21,3,4,10,9,10,9,1,6,3,7,2,0,2,3,1,2,4,0,3,2,2,1,1,3,1,4,10,0,0,2,3,6,2,2,4,5,3,5,1,1,3,2,5,5,4,1,4,2,1,1,1,2,2,9,3,3,1,5,3,2,1,4,1,0,3,4,2,1,2,4,1,5,1,2,6,2,5,0,0,1,1,7,3,4,4,6,2,3,2,2,0,1,0,2,6,1
R_cell_552,3,1,2,6,1,1,5,4,1,3,4,2,2,6,3,2,1,0,9,0,4,1,3,3,3,1,6,3,3,2,12,2,1,1,6,4,3,2,2,1,33,16,6,9,9,3,11,7,24,10,7,3,0,5,1,1,4,3,1,5,2,3,1,4,2,4,1,3,7,2,1,2,1,4,3,2,6,3,2,4,9,2,1,6,0,1,1,4,2,1,4,3,4,4,1,0,1,2,1,0
R_cell_553,2,2,2,5,1,2,1,2,6,2,4,8,6,5,6,0,5,1,4,4,3,5,7,1,0,3,3,1,2,7,35,6,11,5,21,21,12,7,10,53,5,2,1,1,1,2,1,5,1,6,3,1,2,0,1,1,1,8,3,8,0,3,1,5,3,10,0,1,6,1,2,0,1,4,0,4,1,2,6,3,3,2,1,2,0,7,3,2,2,3,2,4,2,0,0,1,0,2,0,2
R_cell_554,4,1,0,2,1,1,5,3,5,2,8,7,8,2,4,0,5,1,5,2,5,10,33,22,9,20,26,8,32,10,10,1,2,1,6,3,1,0,1,3,4,5,2,3,0,7,2,2,7,2,2,6,2,0,1,1,0,6,1,4,2,3,1,0,11,4,1,2,4,2,2,0,0,2,5,5,1,3,2,3,5,0,0,1,2,7,1,1,1,2,10,1,2,3,0,0,0,1,3,1
R_cell_555,3,1,0,5,1,1,5,2,0,1,4,4,7,7,7,0,2,1,1,3,2,15,12,26,16,12,34,5,12,3,13,8,1,1,4,3,2,1,4,2,1,5,0,1,4,4,8,0,4,1,2,7,1,2,4,3,4,1,0,6,1,2,3,3,1,4,1,2,4,3,1,0,1,4,7,5,1,4,4,0,4,4,2,3,1,5,1,0,4,6,2,2,5,3,2,3,3,3,0,1
R_cell_556,16,14,8,26,3,2,9,12,13,1,5,6,6,3,3,0,3,0,7,1,3,7,3,6,1,2,9,5,0,3,9,2,1,2,9,8,1,2,0,2,3,3,3,9,3,4,8,4,4,3,2,8,2,2,3,1,4,4,3,8,1,1,2,6,6,3,1,1,5,0,3,0,0,3,5,4,1,7,0,0,3,6,3,1,2,2,5,4,0,6,3,2,2,0,2,2,1,3,7,1
R_cell_557,12,15,17,28,2,4,6,8,30,2,3,4,3,11,2,2,3,1,2,4,3,1,5,2,2,6,4,2,3,8,10,2,0,1,5,3,6,2,1,2,4,5,1,2,2,6,6,2,12,3,1,3,0,1,4,3,0,17,4,6,1,4,4,2,9,6,4,2,1,1,0,2,3,4,5,2,2,2,5,2,3,2,2,2,0,5,3,1,3,5,8,2,3,5,0,4,0,3,3,2
R_cell_558,9,10,8,31,0,6,19,11,20,5,2,2,2,6,3,1,0,0,4,2,5,1,13,3,3,1,1,2,9,2,21,2,7,3,7,10,2,1,4,1,3,3,1,3,3,4,2,4,2,0,2,3,3,4,0,1,1,7,0,7,1,0,1,4,6,6,1,1,5,1,0,1,0,2,2,4,0,2,3,0,1,1,1,4,1,0,2,1,8,1,4,1,1,2,0,0,1,2,4,2
R_cell_559,6,1,3,12,2,3,2,3,6,1,11,8,1,4,3,1,8,4,3,3,13,3,48,17,13,15,30,16,21,7,18,1,6,2,10,4,0,2,0,0,4,4,5,4,5,3,6,1,3,1,2,5,0,2,2,1,1,4,1,5,1,4,4,1,3,10,2,1,7,2,2,0,0,5,1,5,4,0,6,1,8,4,6,2,2,3,0,1,7,2,0,2,4,5,1,1,1,3,1,2
